Year,Hand,Gear,capacity_Engine,Engine_type,Km,Test,Color,Prev_ownership,Curr_ownership,Area,City,manufactor,model,Price,Pic_num,Cre_date,Repub_date,description,Supply_score
2017,2,אוטומטית,2000,בנזין,115000,388,כחול,ליסינג,פרטית,רמת גן - גבעתיים,גבעתיים,מאזדה,מאזדה 5,70000.0,4,2024-06-05,2024-06-05,"מאזדה CX5 שנת 2017 **צמיגים דאנלופ חדשים 3,200 ₪** ליסינג פרטי נהג יחיד. מטופל במוסך קבוע. הסטוריית טיפולים. חלונות חשמליים. חיישן רוורס. מצלמת רוורס. מערכת מולטימדיה. עם או בלי טסט לשנה",
2015,4,אוטומטית,1500,בנזין,152000,,שחור,פרטית,פרטית,עכו - נהריה,נהריה,מאזדה,מאזדה 3,43000.0,8,2024-05-13,2024-05-21,"מאזדה 3 קומפורט 2015.
יד 04 ברישיון
152,000 ק""מ
מנוע 1500
במצב מכני מצוין, עבר טיפול גדול לפני חודש.
4 צלחות ורפידות חדשים. 2 משולשים ו2 צמיגים חדשים.
מולטימדיה אנדרואיד תואם מקור עם כל ההגדרות של הרכב.
איתוראן.
מחיר - 45,000 
מאור - 0507485117",6832
2022,2,אוטומטית,2000,בנזין,30000,327,שחור,פרטית,פרטית,נתניה והסביבה,כפר יונה,מאזדה,מאזדה 3,133000.0,1,2024-05-19,2024-05-28,מאזדה 3 בלאק שנת 2022 יד 01 נסע 30 אלף ק״מ מטופל במוסך מורשה טסט לשנה שלמה עדיין באחריות יצרן רכב שמור מאוד מתחייב בבדיקה מלאה ,330
2012,3,אוטומטית,2000,בנזין,209,85,שחור,פרטית,פרטית,קריות,קרית אתא,מאזדה,מאזדה 3,29900.0,5,2024-04-06,2024-04-07,הרכב במצב חדש שמור ומטופל לפי הספר ,4376
2018,3,אוטומטית,2000,בנזין,52000,297,לבן פנינה,אחר,פרטית,אשדוד - אשקלון,אשקלון,מאזדה,מאזדה 3,74500.0,7,2024-04-03,2024-04-03,"מאזדה 3 האצ׳בק ספורט 2018 למכירה
נקנתה לפני שנתיים מאלבר ונסעה פחות מ10,000 ק״מ
52,000 ק״מ
אחרי טיפול + החלפת מצבר חדש
יד 3
(מופיע יד 2 ברישיון)
מנוע 2000
165 כ״ס
מסך מולטימדיה מקורי
מצלמת רוורס + חיישני רוורס
MoblieEye+ קודן
הנעה ללא מפתח
אורות led
כולל Apple CarPlay
רכב מפנק במצב חדש 
טסט עד מרץ 2025
גמיש מעט",4543
2014,5,אוטומטית,2000,בנזין,194000,,אפור,השכרה,פרטית,ירושלים והסביבה,ירושלים,מאזדה,מאזדה 6,35000.0,6,2024-04-01,2024-04-01,"מאזדה 6 2014 - יפה, חדש כמו ביום שיצא מהסולון. עם 193,000 קילומטרים של נסיעות חלקות, הוא מוכן להמשיך לחוות את הכביש. חלונות כהים מוסיפים לו אזן של סודיות. עם מערכת שמע מתקדמת ומסך מודרני, תהיה לך חוויה נהיגה מהנה. בנוסף, זהו רכב מנהלים יוקרתי, עם נוחות וסגנון מפואר. תוספות יוקרתיות הופכות את הרכב הזה למושלם לכל מי שמחפש יופי, נוחות וביצועים עקביים.",1449
2012,2,אוטומטית,2000,בנזין,250000,,אפור עכבר,פרטית,פרטית,חולון - בת ים,בת ים,מאזדה,מאזדה 5,35000.0,3,2023-10-02,2024-03-11,"שמורה היטב ללא תאונות
7 מקומות",666
2016,1,אוטומטית,1500,בנזין,,,לבן,פרטית,פרטית,חולון - בת ים,בת ים,מאזדה,מאזדה 3,49000.0,2,2023-09-10,2024-03-11,,5609
2020,1,אוטומטית,2500,בנזין,24000,85,לבן פנינה,פרטית,פרטית,באר שבע והסביבה,באר שבע,מאזדה,מאזדה 3,122000.0,10,2024-03-01,2024-03-01,"למכירה: מאזדה CX-30 2020 עם 24,000 קילומטרים במצב 195 כ״ס כמו חדש

בעלת מנוע חזק וחסכוני בצריכת דלק וביצועים מעולים, ה-CX-30 מצוידת בטכנולוגיות מתקדמות המספקות בטיחות ונוחות לנהג ולנוסעים. עם רמת הגימור Premium, ריפוד עור pure white. פתיחה חשמלית לדלת תא המטען. מושב נהג חשמלי. מראה מרכזית ללא מסגרת. תצוגה על השמשה. כניסה ללא מפתח smart keyless. קיפול מראות חשמלי. Apple CarPlay / Android auto . דימה 0529370515",1763
2014,3,אוטומטית,2000,בנזין,145000,,לבן,פרטית,פרטית,מודיעין והסביבה,מודיעין מכבים רעות,מאזדה,מאזדה 5,68000.0,4,2024-02-20,2024-02-21,Cx5 שמורה שנת 2016 גמיש קצת,647
